"from","to","delta","A_dm","replicate","scenario"
"Pop06","Pop11",-0.0388744198452057,-0.000999747995103457,2,"Isotropic"
"Pop07","Pop08",0.0507774104190959,0.0630587940078104,2,"Isotropic"
"Pop07","Pop09",-8.77737147124413e-05,-0.00158416236382179,2,"Isotropic"
"Pop08","Pop09",-0.0616363450104326,-0.126210319337505,2,"Isotropic"
"Pop08","Pop10",-0.0197772549484389,0.0651674299249629,2,"Isotropic"
"Pop08","Pop11",-0.0187901536684237,-0.00405237414177827,2,"Isotropic"
"Pop08","Pop12",-0.00907586165640552,-0.000724523816922985,2,"Isotropic"
"Pop08","Pop13",-0.0176312783452692,0.0115214952738469,2,"Isotropic"
"Pop08","Pop14",-0.0268703407516491,0.0113383155231325,2,"Isotropic"
"Pop09","Pop10",0.0224096317993835,0.0838651994813089,2,"Isotropic"
"Pop09","Pop11",0.0168788514121071,0.0038785423141478,2,"Isotropic"
"Pop09","Pop13",-0.00049249048909801,0.0133344572392578,2,"Isotropic"
"Pop10","Pop11",0.000926095284063733,-0.127341213765696,2,"Isotropic"
"Pop10","Pop12",-0.000840456473393036,-0.00735235756740413,2,"Isotropic"
"Pop10","Pop13",0.0012787870122241,-0.00189925534954504,2,"Isotropic"
"Pop10","Pop14",-0.022313187512175,-0.0249787092068942,2,"Isotropic"
"Pop10","Pop15",0.0157426683569506,0.0387661865303003,2,"Isotropic"
"Pop11","Pop12",-0.0106125162153582,-0.0282349737343694,2,"Isotropic"
"Pop11","Pop13",-0.00102474041690404,0.00894002814502906,2,"Isotropic"
"Pop11","Pop14",-0.0318808186452758,-0.000557590482827219,2,"Isotropic"
"Pop11","Pop19",0.0219759645048541,-0.00190294778089162,2,"Isotropic"
"Pop12","Pop13",0.00960240736836676,0.0297885069013409,2,"Isotropic"
"Pop12","Pop14",-0.025673040312462,0.0732270527388252,2,"Isotropic"
"Pop12","Pop15",-0.00110563527172486,0.0954021641366478,2,"Isotropic"
"Pop12","Pop16",0.0105052988567711,0.0654095238504039,2,"Isotropic"
"Pop12","Pop22",0.0297179942446733,0.00413618786073033,2,"Isotropic"
"Pop13","Pop14",-0.038231037463664,-0.0468307294627303,2,"Isotropic"
"Pop13","Pop15",0.000316974567996314,0.0500079483225608,2,"Isotropic"
"Pop13","Pop17",0.0478880130916776,-0.0389052621243843,2,"Isotropic"
"Pop13","Pop21",0.0496054444166023,-0.00183292690684764,2,"Isotropic"
"Pop14","Pop18",0.0195550035116264,-0.0451609509983753,2,"Isotropic"
"Pop14","Pop19",0.0159503588585299,0.00275390313040155,2,"Isotropic"
"Pop15","Pop16",-0.041519072020855,-0.0714034090327855,2,"Isotropic"
"Pop15","Pop17",0.0527267141770267,-0.128908008544813,2,"Isotropic"
"Pop15","Pop18",-0.00394636131369297,-0.0969002511744855,2,"Isotropic"
"Pop15","Pop21",0.0424763413018358,-0.0172040461406426,2,"Isotropic"
"Pop15","Pop22",0.050933982687406,-0.00206333961115552,2,"Isotropic"
"Pop16","Pop17",0.0961788948541839,-0.155223699476103,2,"Isotropic"
"Pop16","Pop19",0.0356775757479425,-0.0481444836153874,2,"Isotropic"
"Pop16","Pop23",0.0628244533835295,-0.0774996036547825,2,"Isotropic"
"Pop16","Pop25",0.0145361857973109,-0.0344274168706964,2,"Isotropic"
"Pop17","Pop18",-0.0709650866916068,0.0655894420207248,2,"Isotropic"
