"replicate","generation","k","subset","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within","ok","n_edges","mean_delta","mean_abs_delta"
1,2504,10,3,10,7.32,0.2388274,15.8807729400649,14.1522498434162,1,109,0.0013111281795442,0.0300449048322819
1,2504,12,1,12,8.24,0.208108,18.4147893478097,16.2613708435428,1,101,-0.00281864800587008,0.0317542610219761
1,2504,12,2,12,8.92,0.2413575,19.4493375313052,16.9898077986559,1,96,-0.00125653788152627,0.0321762559970591
1,2504,12,3,12,8.92,0.245750666666667,19.3049228381352,17.0826545299029,1,97,-0.00109563449226168,0.0349655487921306
2,2504,2,1,2,0.92,0.11644,3.40187784384002,2.37814528399674,1,30,-0.234651192824499,0.291025352527121
2,2504,2,2,2,1.36,0.210944,3.59431233797308,2.73303650034635,1,56,-0.00012407347723159,0.131146519885833
2,2504,2,3,2,1.64,0.307333,3.40589951625785,3.06975766210633,1,58,-0.000456618491301292,0.071740148479606
2,2504,3,1,3,1.84,0.213895333333333,4.73588750887522,4.0919230840057,1,51,0.00684551839716912,0.147476682469741
2,2504,3,2,3,1.8,0.175492666666667,5.14838178929338,3.8685982576437,1,45,0.0116871473929722,0.130768922979135
2,2504,3,3,3,1.8,0.160632,4.24237357267697,3.81951063893743,1,63,0.00364896546744929,0.0724631431046242
2,2504,4,1,4,2.76,0.22152,5.87058630554025,5.52463307924817,1,83,0.0172586682033156,0.0425862576589811
2,2504,4,2,4,2.76,0.2130015,7.21362502744633,5.4432560631709,1,63,0.0032753635454604,0.0525490701561993
2,2504,4,3,4,2.08,0.1204425,6.00539806100232,4.75440989457651,1,59,0.0103482933883502,0.0690357321075698
2,2504,5,1,5,3.04,0.177188,7.28641850771703,6.48929779560912,1,85,0.00171262244839444,0.0492632374320694
2,2504,5,2,5,2.72,0.1634124,8.23134034125516,6.37537028167146,1,57,0.00526484474356201,0.133369667713704
2,2504,5,3,5,3.44,0.236518,8.40716743489252,7.0342240133157,1,76,0.0164730147757154,0.0429185939091108
2,2504,6,1,6,3.72,0.180444666666667,9.52517413414492,7.81182851414432,1,67,0.0116406745995989,0.0604686525644069
2,2504,6,2,6,4.6,0.233014,9.31783995444432,8.36693146721477,1,92,0.0173068923946364,0.0431772397115538
2,2504,6,3,6,3.12,0.150666,9.80828330947711,7.5043892656536,1,74,0.0137121498233286,0.0382926950992658
2,2504,8,1,8,5.84,0.220406,12.7065329986468,10.9625527998178,1,92,0.0115047296257712,0.0408713109205095
2,2504,8,2,8,4.96,0.20057675,13.180009713238,10.7387599601052,1,88,0.00035928397802548,0.033426092853671
2,2504,8,3,8,5.36,0.19575975,13.9052499825311,10.6139435273771,1,71,0.00552821712670175,0.0414738140112221
2,2504,10,1,10,6.84,0.2218704,17.2053068254933,13.7995168480522,1,87,0.0114324975266689,0.0316184194848874
2,2504,10,2,10,7,0.212234,15.9708688100704,13.6071091679214,1,86,0.0179296424530917,0.0396599197417308
2,2504,10,3,10,5.92,0.1871094,16.1514770424499,13.1800330911211,1,88,0.00931841951590967,0.0352429890665408
2,2504,12,1,12,7.76,0.199789666666667,19.7861984469716,16.0877262864604,1,78,0.0160033586409654,0.0389886386034483
2,2504,12,2,12,8.2,0.204175833333333,19.6309089453531,16.1429026826169,1,80,0.00667342073166462,0.0370026372227498
2,2504,12,3,12,7.96,0.195619,19.6375990389278,15.9676795656888,1,79,0.0118600190468275,0.0393663643316359
3,2504,2,1,2,1.48,0.310052,3.3239193352792,3.13210059090561,1,43,-0.00158196663969913,0.102175885268617
3,2504,2,2,2,1.88,0.335882,3.55711318002804,3.17636636982861,1,55,-0.00339180466080481,0.0691585731368224
3,2504,2,3,2,1.44,0.260644,3.00446954879631,2.91571402253262,1,46,-0.0193955514279379,0.0955138924436363
3,2504,3,1,3,2,0.227582,4.29356323535862,4.20293570787104,1,69,0.0118370939529979,0.0537433175836263
3,2504,3,2,3,2.24,0.253348666666667,4.38858769374423,4.2987590676761,1,73,-0.0129493067173085,0.0500832319942894
3,2504,3,3,3,2.4,0.296724,4.84174945736151,4.59480615416008,1,75,-0.0259755006182415,0.0593098312528682
