"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"interior",-0.00723807457412963,0.0275392926367033,99,9,"Rate-conserved",2004
"all",-0.00723807457412963,0.0275392926367033,99,9,"Rate-conserved",2004
"interior",-0.0055977062609986,0.0317325330272726,83,10,"Rate-conserved",2004
"all",-0.0055977062609986,0.0317325330272726,83,10,"Rate-conserved",2004
"interior",9.74042155525731e-05,0.026737503990691,122,11,"Rate-conserved",2004
"all",9.74042155525731e-05,0.026737503990691,122,11,"Rate-conserved",2004
"interior",0.00868160390451417,0.0329316431505021,99,12,"Rate-conserved",2004
"all",0.00868160390451417,0.0329316431505021,99,12,"Rate-conserved",2004
"interior",-0.00725817511263761,0.0307745206837052,79,13,"Rate-conserved",2004
"all",-0.00725817511263761,0.0307745206837052,79,13,"Rate-conserved",2004
"interior",0.00490649118499611,0.0210563411249005,116,14,"Rate-conserved",2004
"all",0.00490649118499611,0.0210563411249005,116,14,"Rate-conserved",2004
"interior",0.00467910051658914,0.0365037455318758,88,15,"Rate-conserved",2004
"all",0.00467910051658914,0.0365037455318758,88,15,"Rate-conserved",2004
"interior",0.00202588931226134,0.0285427749796218,95,16,"Rate-conserved",2004
"all",0.00202588931226134,0.0285427749796218,95,16,"Rate-conserved",2004
"interior",0.0021681498577368,0.0267453070214319,109,17,"Rate-conserved",2004
"all",0.0021681498577368,0.0267453070214319,109,17,"Rate-conserved",2004
"interior",0.000312811564941218,0.0325929959331629,101,18,"Rate-conserved",2004
"all",0.000312811564941218,0.0325929959331629,101,18,"Rate-conserved",2004
"interior",-0.000393449644897439,0.0310346966550253,99,19,"Rate-conserved",2004
"all",-0.000393449644897439,0.0310346966550253,99,19,"Rate-conserved",2004
"interior",5.55173534831611e-05,0.0306782618982616,95,20,"Rate-conserved",2004
"all",5.55173534831611e-05,0.0306782618982616,95,20,"Rate-conserved",2004
"interior",-0.0104690472852155,0.0392063221732283,81,21,"Rate-conserved",2004
"all",-0.0104690472852155,0.0392063221732283,81,21,"Rate-conserved",2004
"interior",0.00206517224589023,0.0305659173279323,109,22,"Rate-conserved",2004
"all",0.00206517224589023,0.0305659173279323,109,22,"Rate-conserved",2004
"interior",-0.00786828904515147,0.0261253088663493,102,23,"Rate-conserved",2004
"all",-0.00786828904515147,0.0261253088663493,102,23,"Rate-conserved",2004
"interior",0.00285663385406307,0.0321633534838246,107,24,"Rate-conserved",2004
"all",0.00285663385406307,0.0321633534838246,107,24,"Rate-conserved",2004
"interior",-0.00366652616335261,0.0366680396614767,93,25,"Rate-conserved",2004
"all",-0.00366652616335261,0.0366680396614767,93,25,"Rate-conserved",2004
"interior",-0.000589949636417257,0.0275303549443742,119,26,"Rate-conserved",2004
"all",-0.000589949636417257,0.0275303549443742,119,26,"Rate-conserved",2004
"interior",0.00707931615549467,0.0257982579132219,99,27,"Rate-conserved",2004
"all",0.00707931615549467,0.0257982579132219,99,27,"Rate-conserved",2004
"interior",0.00242955470266714,0.029843205786235,85,28,"Rate-conserved",2004
"all",0.00242955470266714,0.029843205786235,85,28,"Rate-conserved",2004
"interior",-0.00435704935137587,0.0253770650544107,125,29,"Rate-conserved",2004
"all",-0.00435704935137587,0.0253770650544107,125,29,"Rate-conserved",2004
"interior",0.00734404684758081,0.0457661328100928,97,30,"Rate-conserved",2004
"all",0.00734404684758081,0.0457661328100928,97,30,"Rate-conserved",2004
"interior",0.008566917460373,0.0315060756208874,90,31,"Rate-conserved",2004
"all",0.008566917460373,0.0315060756208874,90,31,"Rate-conserved",2004
"interior",0.00294035882865115,0.0337819774383823,92,32,"Rate-conserved",2004
"all",0.00294035882865115,0.0337819774383823,92,32,"Rate-conserved",2004
"interior",-0.00163438223753572,0.0310756571394951,96,33,"Rate-conserved",2004
"all",-0.00163438223753572,0.0310756571394951,96,33,"Rate-conserved",2004
"interior",0.0143039780084959,0.0289177741387216,101,34,"Rate-conserved",2004
"all",0.0143039780084959,0.0289177741387216,101,34,"Rate-conserved",2004
"interior",0.000307076585424463,0.0332154081117094,102,35,"Rate-conserved",2004
"all",0.000307076585424463,0.0332154081117094,102,35,"Rate-conserved",2004
"interior",0.00678984027083619,0.039350456842778,88,36,"Rate-conserved",2004
"all",0.00678984027083619,0.039350456842778,88,36,"Rate-conserved",2004
