"alpha","fpr","fpr_int","fpr_bw","n_edges","n_edges_int","mean_cGD","median_cGD","cond","replicate","generation"
0.1,0.0612244897959184,0.0612244897959184,0.0476190476190476,147,147,9.14410854247079,9.53794251914447,6,1,2334
0.01,0.00757575757575758,0.00757575757575758,0,132,132,10.1194229472232,10.2062711904838,6,1,2669
0.05,0.00757575757575758,0.00757575757575758,0.0227272727272727,132,132,10.1194229472232,10.2062711904838,6,1,2669
0.1,0.0303030303030303,0.0303030303030303,0.053030303030303,132,132,10.1194229472232,10.2062711904838,6,1,2669
0.01,0.0315789473684211,0.0315789473684211,0.0105263157894737,95,95,9.34434840429439,9.67804602437264,6,1,2999
0.05,0.0736842105263158,0.0736842105263158,0.0105263157894737,95,95,9.34434840429439,9.67804602437264,6,1,2999
0.1,0.115789473684211,0.115789473684211,0.0421052631578947,95,95,9.34434840429439,9.67804602437264,6,1,2999
0.01,0.0116279069767442,0.0116279069767442,0.0232558139534884,86,86,4.0129196556729,3.6787843237232,6,2,2004
0.05,0.0116279069767442,0.0116279069767442,0.0232558139534884,86,86,4.0129196556729,3.6787843237232,6,2,2004
0.1,0.0581395348837209,0.0581395348837209,0.0348837209302326,86,86,4.0129196556729,3.6787843237232,6,2,2004
0.01,0.0606060606060606,0.0606060606060606,0,99,99,9.22962622659307,7.60464953690183,6,2,2334
0.05,0.171717171717172,0.171717171717172,0.0505050505050505,99,99,9.22962622659307,7.60464953690183,6,2,2334
0.1,0.202020202020202,0.202020202020202,0.111111111111111,99,99,9.22962622659307,7.60464953690183,6,2,2334
0.01,0.0232558139534884,0.0232558139534884,0,86,86,9.88360383361947,9.61575285568787,6,2,2669
0.05,0.0697674418604651,0.0697674418604651,0,86,86,9.88360383361947,9.61575285568787,6,2,2669
0.1,0.116279069767442,0.116279069767442,0.0465116279069767,86,86,9.88360383361947,9.61575285568787,6,2,2669
0.01,0.0206185567010309,0.0206185567010309,0,97,97,9.84970644793372,9.75661247150656,6,2,2999
0.05,0.0309278350515464,0.0309278350515464,0,97,97,9.84970644793372,9.75661247150656,6,2,2999
0.1,0.103092783505155,0.103092783505155,0.0103092783505155,97,97,9.84970644793372,9.75661247150656,6,2,2999
0.01,0,0,0,117,117,4.2683482695904,3.49802736201619,6,3,2004
0.05,0.0170940170940171,0.0170940170940171,0.0256410256410256,117,117,4.2683482695904,3.49802736201619,6,3,2004
0.1,0.0170940170940171,0.0170940170940171,0.0769230769230769,117,117,4.2683482695904,3.49802736201619,6,3,2004
0.01,0.0315789473684211,0.0315789473684211,0,95,95,8.76789992621427,7.35655294460567,6,3,2334
0.05,0.0526315789473684,0.0526315789473684,0,95,95,8.76789992621427,7.35655294460567,6,3,2334
0.1,0.0736842105263158,0.0736842105263158,0.0210526315789474,95,95,8.76789992621427,7.35655294460567,6,3,2334
0.01,0.11340206185567,0.11340206185567,0,97,97,8.40715355582227,7.05407317232195,6,3,2669
0.05,0.206185567010309,0.206185567010309,0.0103092783505155,97,97,8.40715355582227,7.05407317232195,6,3,2669
0.1,0.237113402061856,0.237113402061856,0.0515463917525773,97,97,8.40715355582227,7.05407317232195,6,3,2669
0.01,0.0352941176470588,0.0352941176470588,0,85,85,7.30045020156718,6.33296637065563,6,3,2999
0.05,0.0470588235294118,0.0470588235294118,0.0117647058823529,85,85,7.30045020156718,6.33296637065563,6,3,2999
0.1,0.0705882352941176,0.0705882352941176,0.0470588235294118,85,85,7.30045020156718,6.33296637065563,6,3,2999
0.01,0.00833333333333333,0.00833333333333333,0,120,120,4.25803953261189,3.89265311246478,6,4,2004
0.05,0.0833333333333333,0.0833333333333333,0.0333333333333333,120,120,4.25803953261189,3.89265311246478,6,4,2004
0.1,0.15,0.15,0.05,120,120,4.25803953261189,3.89265311246478,6,4,2004
0.01,0,0,0.00763358778625954,131,131,8.21496416640912,8.05018939764978,6,4,2334
0.05,0.0381679389312977,0.0381679389312977,0.0152671755725191,131,131,8.21496416640912,8.05018939764978,6,4,2334
0.1,0.0687022900763359,0.0687022900763359,0.0534351145038168,131,131,8.21496416640912,8.05018939764978,6,4,2334
