"replicate","phase","generation","n_edges","diameter","mean_delta","mean_abs_delta"
1,"burnin",1589,107,13.2420021235337,-0.00385138744404544,0.0299283536027357
1,"burnin",1594,104,13.5112066502647,-0.00346916986264615,0.0267058464435942
1,"burnin",1599,115,13.4622331487545,-0.003946236870415,0.02239763223695
1,"burnin",1604,115,14.4329786687929,-0.000977238073977902,0.0311318784991578
1,"burnin",1609,118,12.6280233745918,0.00243201222287161,0.0305153380492724
1,"burnin",1614,103,15.1322362298081,0.000233090436133291,0.0288491240721521
1,"burnin",1619,93,16.3199588523316,0.00927797112675905,0.0339230208124607
1,"burnin",1624,112,14.3784881958021,0.00833397706286032,0.032698343817291
1,"burnin",1629,106,12.1767264846411,-0.00371377524187092,0.0315367399340048
1,"burnin",1634,120,13.8111560448509,-0.00176530553634571,0.0260815752030464
1,"burnin",1639,109,13.9671176968496,-1.75691131805706e-05,0.0278834845498451
1,"burnin",1644,119,13.854142357155,-0.00406730831509226,0.0272982607604999
1,"burnin",1649,107,13.2504307604113,0.00770813466652228,0.0292743278136293
1,"burnin",1654,107,14.0316446608983,0.000169702321056073,0.0304035938136638
1,"burnin",1659,113,14.0043588176191,0.00494013578152622,0.0309391296379018
1,"burnin",1664,115,12.567385810335,-0.00116375040491882,0.0269292789745248
1,"burnin",1669,117,12.9842401371775,-0.00150293973989615,0.0291341528595594
1,"burnin",1674,101,13.1249769752883,0.00547495024429675,0.0336054186085579
1,"burnin",1679,109,12.4949450322689,0.00911593500410727,0.0297281162147361
1,"burnin",1684,102,12.701200033141,-0.00194798169221603,0.0350440439488544
1,"burnin",1689,104,13.0609473658343,0.00416190771945244,0.0348937212661952
1,"burnin",1694,105,13.157178291877,0.000449703918244427,0.0313524927123984
1,"burnin",1699,117,13.0098378466762,-0.00658621165313797,0.0279483529231983
1,"burnin",1704,120,12.7382344953784,-0.00485867928467278,0.0241572094864659
1,"burnin",1709,108,13.7676982685469,-0.00656175405786196,0.0233318293790675
1,"burnin",1714,111,12.2136924459912,-0.00112043712557381,0.0233841199958637
1,"burnin",1719,119,11.662586584592,-0.00827136715722219,0.0208413442426095
1,"burnin",1724,129,11.8263183917984,-0.00452530327116655,0.0250595863235317
1,"burnin",1729,125,13.0129410527561,-0.00729203231425254,0.0219849304632153
1,"burnin",1734,128,11.0919094068137,-0.00326310240889457,0.0204497914499086
1,"burnin",1739,127,12.5272492298498,-0.00677726982906834,0.0225316533060246
1,"burnin",1744,126,11.1372611799011,-0.000835393204055022,0.0212459786489814
1,"burnin",1749,129,11.6172821157164,-0.00510017605451736,0.0232910204607807
1,"burnin",1754,125,10.8364497906596,-0.00106977177016948,0.0194578089615618
1,"burnin",1759,129,10.3357444766374,-0.00163884896494344,0.0225155013760153
1,"burnin",1764,120,11.6147814114395,-0.0093402549792701,0.0225152860380989
1,"burnin",1769,128,10.3269616240591,-0.00624519935433453,0.0243831821214916
1,"burnin",1774,116,10.927507183364,-0.00163932605135811,0.0279396504202011
1,"burnin",1779,114,11.3971740139636,-0.00754519306544989,0.0263329969595667
1,"burnin",1784,121,11.6279976907268,-0.00246724592766934,0.0208473788747185
1,"burnin",1789,109,11.4233943726941,-0.00824567720831839,0.0282315183900136
1,"burnin",1794,105,11.9023912114635,0.00377193230859836,0.0322746245876362
1,"burnin",1799,118,13.0044054576017,0.00253694603304474,0.024927834572049
1,"burnin",1804,120,12.1803026863709,-0.00751077100854615,0.021469057070527
1,"burnin",1809,121,11.3161463297246,-0.00162900972977226,0.0212564125948826
1,"burnin",1814,115,11.5954972712002,-0.000857674102316376,0.0218325104987744
