"replicate","scenario","generation","method","Excluded","Exclusion","rho_all","rmse_all","mae_all","rho_corr","rmse_corr","mae_corr","auc_corr"
1,"Isotropic",2399,"gravity",FALSE,"",0.520879044488921,0.299704093229493,0.171945006556592,NA,0.233226368510108,0.215247209449261,0.982487922705314
1,"Isotropic",2404,"divMigrate",FALSE,"",0.45737367541391,0.197705116910419,0.108643552365462,NA,0.619072593535459,0.58695802321079,0.986677234299517
1,"Isotropic",2404,"gravity",FALSE,"",0.528700070444589,0.293204684194536,0.162998535408227,NA,0.229933029702239,0.206529657126012,0.983242753623188
1,"Isotropic",2409,"divMigrate",FALSE,"",0.455032716702989,0.187206396507613,0.112114371297122,NA,0.539890492290909,0.50535053959344,0.984186292270531
1,"Isotropic",2409,"gravity",FALSE,"",0.529974355304995,0.287207255485988,0.159648187959621,NA,0.237388246607852,0.219148398187035,0.98305404589372
1,"Isotropic",2414,"divMigrate",FALSE,"",0.449818763210485,0.204101920362911,0.106877002359235,NA,0.649188396876033,0.621761494017097,0.978638285024155
1,"Isotropic",2414,"gravity",FALSE,"",0.520471598427838,0.279856391110472,0.16291148194477,NA,0.281165183733893,0.267629343460294,0.982110507246377
1,"Isotropic",2419,"divMigrate",FALSE,"",0.451166587922833,0.204623092383973,0.108999412360733,NA,0.649053370568193,0.627474429616821,0.980072463768116
1,"Isotropic",2419,"gravity",FALSE,"",0.519167002641927,0.273187134995414,0.153148095920542,NA,0.298180821400278,0.277666566236325,0.973203502415459
1,"Isotropic",2424,"divMigrate",FALSE,"",0.454536149703703,0.189362330417378,0.113301374930383,NA,0.545877351048615,0.501468092595072,0.983657910628019
1,"Isotropic",2424,"gravity",FALSE,"",0.536860426138091,0.271437311190949,0.147474989038256,NA,0.268976590402435,0.25038341716724,0.980714070048309
1,"Isotropic",2429,"divMigrate",FALSE,"",0.450492675566659,0.2209307634486,0.0950696282746407,NA,0.755075593259793,0.732962074850848,0.979355374396135
1,"Isotropic",2429,"gravity",FALSE,"",0.526832395109739,0.263995649381854,0.149031209421066,NA,0.315357810681852,0.298669689436618,0.978826992753623
1,"Isotropic",2434,"divMigrate",FALSE,"",0.454500680632326,0.191830466574091,0.111276325833984,NA,0.573129689824266,0.539357684039836,0.983620169082126
1,"Isotropic",2434,"gravity",FALSE,"",0.527614128861336,0.29084896939978,0.161412484046351,NA,0.236466504769686,0.213608148178819,0.980902777777778
1,"Isotropic",2439,"divMigrate",FALSE,"",0.461062458837178,0.224174947162448,0.0934970314844482,NA,0.775322167794325,0.755309572918566,0.990602355072464
1,"Isotropic",2439,"gravity",FALSE,"",0.526148342325608,0.266825548493501,0.157055515528887,NA,0.328705288652767,0.313570085403927,0.986111111111111
1,"Isotropic",2444,"divMigrate",FALSE,"",0.460672299052025,0.194025168907191,0.106497151055079,NA,0.61699869337631,0.59371624154047,0.990187198067633
1,"Isotropic",2444,"gravity",FALSE,"",0.524383080614238,0.269596841759949,0.158765846459083,NA,0.309986700082729,0.297928929112198,0.985733695652174
1,"Isotropic",2449,"divMigrate",FALSE,"",0.464183737118405,0.196173307531584,0.099577012210182,NA,0.645035373538847,0.624845622517861,0.993923611111111
1,"Isotropic",2449,"gravity",FALSE,"",0.544278769154524,0.273248221890378,0.146222857168466,NA,0.224230792112479,0.202805107281473,0.987356582125604
1,"Isotropic",2454,"divMigrate",FALSE,"",0.463155134048455,0.213155071187812,0.0931313427525128,NA,0.730740297162462,0.714820933344435,0.992829106280193
