"Stratum","He","n_poly","pop_index","is_terminus","replicate","scenario","generation"
"Pop17",0.20144,13,17,FALSE,14,"Isotropic",2004
"Pop18",0.2060675,13,18,FALSE,14,"Isotropic",2004
"Pop19",0.1933475,13,19,FALSE,14,"Isotropic",2004
"Pop20",0.1709475,13,20,FALSE,14,"Isotropic",2004
"Pop21",0.2005225,11,21,FALSE,14,"Isotropic",2004
"Pop22",0.1807975,11,22,FALSE,14,"Isotropic",2004
"Pop23",0.1989125,9,23,FALSE,14,"Isotropic",2004
"Pop24",0.18103,9,24,FALSE,14,"Isotropic",2004
"Pop25",0.1396,8,25,TRUE,14,"Isotropic",2004
"Pop01",0.156195,11,1,TRUE,15,"Isotropic",2004
"Pop02",0.204185,13,2,FALSE,15,"Isotropic",2004
"Pop03",0.2105875,14,3,FALSE,15,"Isotropic",2004
"Pop04",0.2404425,16,4,FALSE,15,"Isotropic",2004
"Pop05",0.2513675,15,5,FALSE,15,"Isotropic",2004
"Pop06",0.24699,14,6,FALSE,15,"Isotropic",2004
"Pop07",0.2090825,15,7,FALSE,15,"Isotropic",2004
"Pop08",0.1964325,13,8,FALSE,15,"Isotropic",2004
"Pop09",0.2536025,17,9,FALSE,15,"Isotropic",2004
"Pop10",0.260045,17,10,FALSE,15,"Isotropic",2004
"Pop11",0.2213175,16,11,FALSE,15,"Isotropic",2004
"Pop12",0.24897,16,12,FALSE,15,"Isotropic",2004
"Pop13",0.28425,17,13,FALSE,15,"Isotropic",2004
"Pop14",0.3388025,17,14,FALSE,15,"Isotropic",2004
"Pop15",0.329735,17,15,FALSE,15,"Isotropic",2004
"Pop16",0.349685,16,16,FALSE,15,"Isotropic",2004
"Pop17",0.31718,17,17,FALSE,15,"Isotropic",2004
"Pop18",0.274125,16,18,FALSE,15,"Isotropic",2004
"Pop19",0.26517,18,19,FALSE,15,"Isotropic",2004
"Pop20",0.24864,17,20,FALSE,15,"Isotropic",2004
"Pop21",0.227345,14,21,FALSE,15,"Isotropic",2004
"Pop22",0.2039,13,22,FALSE,15,"Isotropic",2004
"Pop23",0.199185,11,23,FALSE,15,"Isotropic",2004
"Pop24",0.187345,10,24,FALSE,15,"Isotropic",2004
"Pop25",0.1519125,10,25,TRUE,15,"Isotropic",2004
"Pop01",0.1967175,12,1,TRUE,16,"Isotropic",2004
"Pop02",0.2007,12,2,FALSE,16,"Isotropic",2004
"Pop03",0.193215,13,3,FALSE,16,"Isotropic",2004
"Pop04",0.22938,14,4,FALSE,16,"Isotropic",2004
"Pop05",0.2390775,14,5,FALSE,16,"Isotropic",2004
"Pop06",0.2242125,13,6,FALSE,16,"Isotropic",2004
"Pop07",0.245105,13,7,FALSE,16,"Isotropic",2004
"Pop08",0.267965,16,8,FALSE,16,"Isotropic",2004
"Pop09",0.2846975,17,9,FALSE,16,"Isotropic",2004
"Pop10",0.304645,17,10,FALSE,16,"Isotropic",2004
"Pop11",0.30787,16,11,FALSE,16,"Isotropic",2004
"Pop12",0.27481,17,12,FALSE,16,"Isotropic",2004
"Pop13",0.2896075,17,13,FALSE,16,"Isotropic",2004
"Pop14",0.2662475,16,14,FALSE,16,"Isotropic",2004
"Pop15",0.2784875,15,15,FALSE,16,"Isotropic",2004
"Pop16",0.2306725,14,16,FALSE,16,"Isotropic",2004
"Pop17",0.227545,13,17,FALSE,16,"Isotropic",2004
"Pop18",0.187565,13,18,FALSE,16,"Isotropic",2004
"Pop19",0.2134425,12,19,FALSE,16,"Isotropic",2004
"Pop20",0.2137625,13,20,FALSE,16,"Isotropic",2004
"Pop21",0.18994,10,21,FALSE,16,"Isotropic",2004
"Pop22",0.1974625,14,22,FALSE,16,"Isotropic",2004
"Pop23",0.1882175,12,23,FALSE,16,"Isotropic",2004
"Pop24",0.1559775,12,24,FALSE,16,"Isotropic",2004
"Pop25",0.149575,10,25,TRUE,16,"Isotropic",2004
"Pop01",0.2088025,12,1,TRUE,17,"Isotropic",2004
"Pop02",0.2075825,13,2,FALSE,17,"Isotropic",2004
"Pop03",0.19496,12,3,FALSE,17,"Isotropic",2004
"Pop04",0.2121825,12,4,FALSE,17,"Isotropic",2004
"Pop05",0.259535,14,5,FALSE,17,"Isotropic",2004
"Pop06",0.25257,14,6,FALSE,17,"Isotropic",2004
"Pop07",0.264175,14,7,FALSE,17,"Isotropic",2004
"Pop08",0.238895,14,8,FALSE,17,"Isotropic",2004
"Pop09",0.2474025,13,9,FALSE,17,"Isotropic",2004
"Pop10",0.2611,14,10,FALSE,17,"Isotropic",2004
"Pop11",0.2417275,14,11,FALSE,17,"Isotropic",2004
"Pop12",0.25996,14,12,FALSE,17,"Isotropic",2004
"Pop13",0.2523775,14,13,FALSE,17,"Isotropic",2004
"Pop14",0.2413225,14,14,FALSE,17,"Isotropic",2004
"Pop15",0.2774825,14,15,FALSE,17,"Isotropic",2004
"Pop16",0.2432325,13,16,FALSE,17,"Isotropic",2004
"Pop17",0.2473725,14,17,FALSE,17,"Isotropic",2004
"Pop18",0.2572975,12,18,FALSE,17,"Isotropic",2004
"Pop19",0.22456,12,19,FALSE,17,"Isotropic",2004
"Pop20",0.216465,11,20,FALSE,17,"Isotropic",2004
"Pop21",0.1724925,11,21,FALSE,17,"Isotropic",2004
"Pop22",0.1268525,10,22,FALSE,17,"Isotropic",2004
"Pop23",0.12898,9,23,FALSE,17,"Isotropic",2004
